1password-beta 8.11.14_20.BETA-20
ttf-fantasque-nerd 3.4.0-1
ttf-firacode-nerd 3.4.0-1
ttf-go-nerd 3.4.0-1
ttf-gohu-nerd 3.4.0-1
ttf-hack-nerd 3.4.0-1
ttf-heavydata-nerd 3.4.0-1
ttf-ia-writer 20181225-1
ttf-iawriter-nerd 3.4.0-1
ttf-ibmplex-mono-nerd 3.4.0-1
ttf-inconsolata-go-nerd 3.4.0-1
ttf-inconsolata-lgc-nerd 3.4.0-1
ttf-inconsolata-nerd 3.4.0-1
ttf-intone-nerd 3.4.0-1
ttf-iosevka-nerd 3.4.0-1
ttf-iosevkaterm-nerd 3.4.0-1
ttf-iosevkatermslab-nerd 3.4.0-1
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-lekton-nerd 3.4.0-1
ttf-liberation-mono-nerd 3.4.0-1
ttf-lilex-nerd 3.4.0-1
ttf-martian-mono-nerd 3.4.0-1
ttf-meslo-nerd 3.4.0-1
ttf-monofur-nerd 3.4.0-1
ttf-monoid-nerd 3.4.0-1
ttf-mononoki-nerd 3.4.0-1
ttf-mplus-nerd 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-noto-nerd 3.4.0-1
ttf-profont-nerd 3.4.0-1
ttf-proggyclean-nerd 3.4.0-1
ttf-recursive-nerd 3.4.0-1
ttf-roboto-mono-nerd 3.4.0-1
ttf-sarasa-gothic 1.0.33-1
ttf-sharetech-mono-nerd 3.4.0-1
ttf-sourcecodepro-nerd 3.4.0-1
ttf-space-mono-nerd 3.4.0-1
ttf-terminus-nerd 3.4.0-1
ttf-tinos-nerd 3.4.0-1
ttf-ubuntu-mono-nerd 3.4.0-1
ttf-ubuntu-nerd 3.4.0-1
ttf-victor-mono-nerd 3.4.0-1
ttf-zed-mono-nerd 3.4.0-1
typora 1.12.1-1
tzupdate 3.1.0-1
ufw 0.36.2-5
ufw-docker 250710-1
unzip 6.0-23
uwsm 0.23.3-1
vivaldi 7.6.3797.58-1
walker-bin 0.13.26-1
waybar 0.14.0-2
wf-recorder 0.5.0-3
wget 1.25.0-2
whois 5.6.4-1
wine 10.16-1
winetricks 20250102-1
wiremix 0.7.0-1
wireplumber 0.5.11-1
wl-clip-persist 0.5.0-1
wl-clipboard 1:2.2.1-3
wl-screenrec 0.2.0-2
woff2-font-awesome 7.1.0-1
wqy-microhei 0.2.0_beta-12
xampp 8.2.12-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.10-5
xmlstarlet 1.6.1-6
xournalpp 1.2.7-1
yaourt 1.9-1
yaru-icon-theme 25.10.2-1
yay 12.5.2-2
yazi 25.5.31-2
zellij 0.43.1-1
zen-browser-bin 1.16.3b-1
zenmap 7.98-3
zig 0.15.1-1
zoxide 0.9.8-2
zram-generator 1.2.1-1
zsh 5.9-5
